REFNUM,ZONE,EASTING_CE,NORTHING_C
00000004,12,514478,3468049
00000017,17,446367,4018184
00000019,17,414966,3867679
00000023,17,396871,4081603
00000027,17,714764,4073451
00000033,11,447458,3753804
00000035,11,707648,4714457
00000040,18,360216,4350285
00000056,17,555415,4540076
00000057,18,354491,4429204
00000058,18,381137,4446513
00000064,18,277533,4164380
00000067,17,689934,4099780
00000071,16,738866,3738343
00000072,17,366321,3700016
00000100,15,603950,3902221
00000102,12,400880,3703970
00000106,17,358673,3704126
00000111,19,332022,4681213
00000125,16,739662,3943629
00000137,16,451443,3591256
00000138,16,567287,3579250
00000143,16,548225,3785517
00000147,15,736815,4279630
00000160,19,330906,4691827
00000163,12,553967,5265770
00000168,14,552654,4493795
00000175,18,566816,4517729
00000176,18,510205,4503224
00000195,16,572248,4408034
00000196,16,626998,4526754
00000197,16,449950,4202516
00000199,16,478947,3336265
00000201,16,625470,4370713
00000205,16,465820,4389765
00000224,17,332595,4708570
00000233,16,511651,3974229
00000234,16,496609,3967436
00000247,14,677900,3623970
00000251,17,415943,4281265
00000255,16,428638,4768223
00000259,18,285885,4241237
00000270,16,654263,4159547
00000272,16,621803,4243104
00000277,16,746165,4231663
00000284,16,695199,4305982
00000286,16,466129,5125361
00000288,10,501700,4683890
00000289,17,321142,3839660
00000292,17,435044,4223039
00000296,18,655390,4572568
00000297,18,668686,4607278
00000300,16,748582,3742364
00000305,16,571016,4411992
00000310,18,593850,4562168
00000311,18,257771,4165531
00000313,18,245749,4071669
00000314,17,587105,4106949
00000318,15,721057,3824812
00000319,12,390196,3940036
00000324,18,615358,4543329
00000325,18,659933,4576304
00000326,15,362070,4795840
00000331,15,682418,3747905
00000342,13,351365,4054196
00000344,18,568003,4556380
00000345,18,569943,4586845
00000347,18,286439,4740998
00000353,16,514204,3977340
00000354,12,608164,4508220
00000361,10,564308,4183169
00000364,10,555692,4195766
00000365,10,694633,4246688
00000370,17,235819,3721852
00000371,17,215692,3416079
00000374,19,470999,4947585
00000381,18,277377,4717195
00000384,18,645384,4747563
00000389,17,379033,3414300
00000390,17,227961,3603686
00000391,17,286864,4718414
00000392,17,556188,3928192
00000393,17,641247,3994660
00000396,17,592017,4482500
00000397,17,601331,4487976
00000398,17,608584,4496545
00000399,17,612688,4504523
00000400,17,619986,4508226
00000401,17,624071,4519724
00000402,17,628034,4528181
00000403,17,622272,4534525
00000410,16,393697,4656020
00000414,15,636263,4422684
00000415,19,324350,4691003
00000421,17,466973,4588136
00000426,11,480114,3621810
00000442,17,664926,3954493
00000443,17,740564,3932212
00000446,10,523800,4671420
00000456,11,474559,5286349
00000458,18,246165,3910299
