REFNUM,ACRE
00000003,0.9+
00000004,39.5+
00000005,0.9+
00000006,0.9+
00000007,5.7+
00000008,0.3+
00000009,0.9+
00000010,0.9+
00000011,0.9+
00000012,0.9+
00000013,0.9+
00000014,0.9+
00000015,0.9+
00000016,6.4+
00000017,19.0+
00000018,0.9+
00000019,1.3+
00000020,0.9+
00000021,0.9+
00000022,0.9+
00000023,246.2+
00000024,0.9+
00000025,1.2+
00000026,2.0+
00000027,128.0+
00000028,1.7+
00000029,18.5+
00000030,10.5+
00000033,92.0+
00000034,6.2+
00000035,20.0+
00000036,0.9+
00000037,0.9+
00000038,4.3+
00000039,0.9+
00000040,114.0+
00000041,0.9+
00000042,0.9+
00000043,0.9+
00000044,0.9+
00000045,0.9+
00000046,0.9+
00000047,0.9+
00000048,2.7+
00000049,0.9+
00000050,0.9+
00000051,2.0+
00000052,0.9+
00000053,0.9+
00000054,0.9+
00000055,5.5+
00000056,450.0+
00000057,35.1+
00000058,230.0+
00000059,1.3+
00000060,1.7+
00000061,0.2+
00000062,1.9+
00000063,1.0+
00000064,121.0+
00000065,2.0+
00000066,0.5+
00000067,82.3+
00000068,5.0+
00000069,0.2+
00000070,0.3+
00000071,155.0+
00000072,80.0+
00000073,2.0+
00000074,2.0+
00000075,0.9+
00000076,0.9+
00000077,0.9+
00000078,0.9+
00000079,0.9+
00000080,0.9+
00000081,0.9+
00000082,0.9+
00000083,0.9+
00000084,0.9+
00000085,0.9+
00000086,0.9+
00000087,0.5+
00000088,0.9+
00000089,0.9+
00000090,2.7+
00000091,0.9+
00000092,0.9+
00000093,2.0+
00000094,1.5+
00000095,7.5+
00000096,133.0+
00000097,7.0+
00000098,0.9+
00000100,23.0+
00000101,0.9+
00000102,5.5+
00000103,1.9+
00000104,0.9+
00000106,65.0+
00000107,2.0+
00000108,0.9+
00000109,0.9+
00000110,0.9+
00000111,30.0+
00000112,0.9+
00000113,0.9+
00000114,0.9+
00000115,0.9+
00000116,0.9+
00000117,0.9+
00000118,0.9+
00000119,0.4+
00000120,2.2+
00000121,0.9+
00000122,0.9+
00000123,0.9+
00000124,0.9+
00000125,55.0+
00000126,0.9+
00000127,0.9+
00000130,0.9+
00000131,0.9+
00000132,0.9+
00000133,0.9+
00000134,0.9+
00000135,0.9+
00000136,0.9+
00000137,140.0+
00000138,58.0+
00000139,0.5+
00000140,5.0+
00000141,0.9+
00000142,0.1+
00000143,70.0+
00000144,1.0+
00000145,2.8+
00000146,0.9+
00000147,16.0+
00000148,0.2+
00000149,0.9+
00000150,0.9+
00000151,0.9+
00000152,1.0+
00000153,0.1+
00000154,0.9+
00000155,0.9+
00000156,0.9+
00000157,0.9+
00000158,1.0+
00000159,0.9+
00000160,230.0+
00000162,5.5+
00000163,48.0+
00000164,0.1+
00000165,9.9+
00000166,0.9+
00000167,0.9+
00000168,37.8+
00000169,0.9+
00000170,0.9+
00000171,0.9+
00000172,0.9+
00000175,26.6+
00000176,25.0+
00000177,2.0+
00000178,0.9+
00000179,0.9+
00000180,0.9+
00000181,0.9+
00000182,0.9+
00000184,0.9+
00000185,0.9+
00000186,0.9+
00000187,0.9+
00000188,0.4+
00000189,0.6+
00000190,0.9+
00000191,6.7+
00000192,1.7+
00000193,2.0+
00000194,2.0+
00000195,70.0+
00000196,130.0+
00000197,16.8+
00000198,0.9+
00000199,685.0+
00000200,3.6+
00000201,35.0+
00000202,7.0+
00000203,0.9+
00000204,3.0+
00000205,31.0+
00000206,0.9+
00000207,3.0+
00000208,0.9+
00000209,0.9+
00000210,0.9+
00000211,0.9+
00000212,0.9+
00000213,0.9+
00000215,0.9+
00000216,3.7+
00000217,0.9+
00000218,0.9+
00000219,0.9+
00000220,1.0+
00000221,0.9+
00000222,3.8+
00000223,0.9+
00000224,600.0+
