Seq_No,Refnum,UTM_zone,UTM_eastin,UTM_northi
0,00000004,12,514560,3468520
1,00000004,12,514610,3468030
2,00000004,12,514365,3467700
3,00000004,12,514290,3467710
0,00000017,17,446170,4018450
1,00000017,17,446640,4018400
2,00000017,17,446560,4017920
3,00000017,17,446100,4017960
0,00000019,17,414980,3867730
1,00000019,17,415020,3867600
2,00000019,17,414940,3867670
3,00000019,17,414900,3867710
0,00000023,17,396910,4082370
1,00000023,17,397620,4081360
2,00000023,17,397680,4081040
3,00000023,17,397030,4081040
4,00000023,17,396440,4081460
5,00000023,17,396400,4081630
6,00000023,17,396050,4081350
7,00000023,17,395980,4081540
8,00000023,17,396140,4082000
0,00000027,17,714670,4074070
1,00000027,17,715160,4073630
2,00000027,17,715140,4073360
3,00000027,17,715000,4073530
4,00000027,17,714900,4073040
5,00000027,17,714680,4073040
6,00000027,17,714400,4073290
0,00000033,11,447375,3754213
1,00000033,11,447668,3754185
2,00000033,11,447660,3753520
3,00000033,11,447168,3753413
0,00000035,11,707530,4714630
1,00000035,11,707800,4714610
2,00000035,11,707640,4714160
3,00000035,11,707560,4714360
0,00000040,18,360390,4350850
1,00000040,18,360600,4350330
2,00000040,18,360380,4349820
3,00000040,18,360070,4349900
4,00000040,18,359800,4350090
5,00000040,18,359800,4350340
0,00000056,17,554656,4541215
1,00000056,17,556173,4541215
2,00000056,17,556173,4538937
3,00000056,17,554656,4538937
0,00000057,18,354940,4429530
1,00000057,18,355000,4429460
2,00000057,18,354400,4428860
3,00000057,18,354080,4428860
4,00000057,18,354280,4429400
0,00000058,18,380980,4447740
1,00000058,18,382100,4446540
2,00000058,18,381340,4445360
3,00000058,18,380320,4446140
4,00000058,18,380400,4446860
0,00000064,18,277375,4164845
1,00000064,18,277865,4164770
2,00000064,18,277995,4164115
3,00000064,18,277570,4163990
4,00000064,18,277430,4164390
5,00000064,18,276785,4164330
6,00000064,18,276820,4164435
0,00000067,17,690290,4100160
1,00000067,17,690340,4100040
2,00000067,17,690180,4099460
3,00000067,17,690210,4099950
4,00000067,17,689580,4099440
5,00000067,17,689570,4099950
6,00000067,17,689980,4100130
0,00000071,16,739100,3738920
1,00000071,16,739100,3737960
